time,Date,load_2030,solar,wind,gas,batt_charge,batt_discharge,SOC,load_net,load_and_charge
2030-11-08T07:00:00Z,11/8/2018,568.752082591221,26.571843013598478,441.02771547854763,0,0,101.15252409907484,264.3882775230172,0,568.75
2030-11-08T08:00:00Z,11/8/2018,550.370012814477,134.14451083426053,378.8155473551312,0,0,37.40995462508512,220.3765661993876,-0,550.37
2030-11-08T09:00:00Z,11/8/2018,533.534224257735,250.77650058788726,548.4850967826311,0,265.7273731127835,0,486.10393931217124,-0,799.26
2030-11-08T10:00:00Z,11/8/2018,517.881270711358,330.0962670643933,533.8935155318658,0,346.10851188490125,0,832.2124511970726,0,863.99
2030-11-08T11:00:00Z,11/8/2018,505.0332555436851,416.48164861683176,566.5831820548973,0,478.0315751280442,0,1310.244026325117,-0,983.06
2030-11-08T12:00:00Z,11/8/2018,494.8353819294821,448.9414162900479,573.4830770649487,0,527.5891114255147,0,1837.8331377506317,-0,1022.42
2030-11-08T13:00:00Z,11/8/2018,491.901366033304,407.79909078782634,604.0235959618993,0,365.93252424324425,0,2203.765661993876,153.99,857.83
2030-11-08T14:00:00Z,11/8/2018,494.1958769197439,353.9302784507601,579.2518417454837,0,0,0,2203.765661993876,438.99,494.2
2030-11-08T15:00:00Z,11/8/2018,510.536837852387,256.01411171440196,472.9255907709178,0,0,0,2203.765661993876,218.4,510.54
2030-11-08T16:00:00Z,11/8/2018,552.3943701698289,163.72398209412202,372.9336696416441,0,0,15.73671843406276,2185.2518756008612,-0,552.39
2030-11-08T17:00:00Z,11/8/2018,615.970516017793,0,316.4902661987625,0,0,299.4802498190305,1832.9221699314132,0,615.97
2030-11-08T18:00:00Z,11/8/2018,623.6999576734449,0,289.00379919150754,0,0,334.6961584819374,1439.1619834820751,0,623.7
2030-11-08T19:00:00Z,11/8/2018,608.5471642266589,0,288.55134705970136,0,0,319.99581716695764,1062.6963162268307,0,608.55
2030-11-08T20:00:00Z,11/8/2018,590.7245055597,0,389.1088333537324,0,0,201.61567220596766,825.5014077492216,0,590.72
2030-11-08T21:00:00Z,11/8/2018,564.425040204239,0,536.7213413556573,0,0,27.703698848581762,792.9088208685372,0,564.43
2030-11-08T22:00:00Z,11/8/2018,523.141651476716,0,598.4810573472674,0,75.33940587055146,0,868.2482267390886,0,598.48
2030-11-08T23:00:00Z,11/8/2018,490.98197511807,0,636.1476973201725,0,145.1657222021026,0,1013.4139489411913,-0,636.15
2030-11-09T00:00:00Z,11/8/2018,473.26516244984396,0,540.1147323442069,0,66.8495698943629,0,1080.2635188355541,0,540.11
2030-11-09T01:00:00Z,11/9/2018,464.26557195733596,0,508.21685705183774,0,43.951285094501735,0,1124.214803930056,0,508.22
2030-11-09T02:00:00Z,11/9/2018,460.751604001316,0,477.7894511878393,0,17.037847186523315,0,1141.252651116579,-0,477.79
2030-11-09T03:00:00Z,11/9/2018,464.312520564224,0,539.7753932453527,0,75.46287268112866,0,1216.7155237977079,0,539.78
2030-11-09T04:00:00Z,11/9/2018,478.75373237427505,0,613.298864663936,0,134.54513228966096,0,1351.2606560873687,0,613.3
2030-11-09T05:00:00Z,11/9/2018,513.6054274342961,0,500.52517081112376,0,0,13.080256623172074,1335.8721188836369,-0,513.61
2030-11-09T06:00:00Z,11/9/2018,564.378009619804,0,527.6722987195235,0,0,36.70571090028046,1292.6889295891892,0,564.38
2030-11-09T07:00:00Z,11/9/2018,584.415500932205,155.5938807388046,514.6642999300819,0,85.84267973668165,0,1378.531609325871,-0,670.26
2030-11-09T08:00:00Z,11/9/2018,567.025545336585,550.5052693787317,196.02488610523838,0,179.50461014738522,0,1558.0362194732563,-0,746.53
2030-11-09T09:00:00Z,11/9/2018,547.590399595487,714.1281194386072,90.03797422952665,0,256.575694072647,0,1814.6119135459032,-0,804.17
2030-11-09T10:00:00Z,11/9/2018,537.396743562135,808.9468632127007,129.51442272965767,0,389.1537484479728,0,2203.765661993876,11.91,926.55
2030-11-09T11:00:00Z,11/9/2018,521.279511160682,856.3792433193549,161.75163712088303,0,0,0,2203.765661993876,496.85,521.28
2030-11-09T12:00:00Z,11/9/2018,503.938867223935,863.1636410622351,139.92082176121096,0,0,0,2203.765661993876,499.15,503.94
2030-11-09T13:00:00Z,11/9/2018,498.59232530198,826.7720102804087,247.49131609824647,0,0,0,2203.765661993876,575.67,498.59
2030-11-09T14:00:00Z,11/9/2018,495.744878089182,746.5154229405467,318.7525268577957,0,0,0,2203.765661993876,569.52,495.74
2030-11-09T15:00:00Z,11/9/2018,518.237754076044,615.2396367916372,328.81958679049467,0,0,0,2203.765661993876,425.82,518.24
