Hour,Date,2030_load,solar,wind,gas,batt_charge,batt_discharge,SOC,net_load,load_and_charge
4764,7/18/2018,749.4516514323051,925.7168302817632,456.6823835080479,0.0,0.0,0.0,2813.842357742996,632.95,749.45
4765,7/18/2018,834.891793203336,891.6387071848111,579.7895220030853,0.0,0.0,0.0,2813.842357742996,636.54,834.89
4766,7/18/2018,865.2990767201089,830.1100469958972,432.62888562028047,0.0,0.0,0.0,2813.842357742996,397.44,865.3
4767,7/18/2018,910.941039153729,721.1300933660434,305.6798689903913,0.0,0.0,0.0,2813.842357742996,115.87,910.94
4768,7/18/2018,939.08663887308,572.4895604122929,205.45696112468863,161.14011733609854,0.0,0.0,2813.842357742996,0.0,939.09
4769,7/18/2018,928.6696509487031,389.97901478252595,105.06701507921066,361.42354052137773,0.0,72.20008056558866,2728.901086489362,0.0,928.67
4770,7/18/2018,891.2691467157749,102.90585058924835,47.10476669688021,361.42354052137773,0.0,379.83498890826866,2282.036393656105,0.0,891.27
4771,7/18/2018,840.3199262631658,0.0,36.91543773053407,361.42354052137773,0.0,441.98094801125404,1762.0588077605119,0.0,840.32
4772,7/18/2018,787.1103462456429,0.0,104.06478600055455,361.42354052137773,0.0,321.62201972371054,1383.6799610267346,0.0,787.11
4773,7/18/2018,691.351667780713,0.0,211.9714501359596,361.42354052137773,0.0,117.95667712337574,1244.9073997051162,0.0,691.35
4774,7/18/2018,605.4379288651861,0.0,362.6398882940642,242.79804057112193,0.0,0.0,1244.9073997051162,0.0,605.44
4775,7/18/2018,542.816653814902,0.0,323.3859160466645,219.4307377682376,0.0,0.0,1244.9073997051162,0.0,542.82
4776,7/19/2018,502.699358839791,0.0,286.6375164959071,216.06184234388385,0.0,0.0,1244.9073997051162,0.0,502.7
4777,7/19/2018,473.942595519499,0.0,252.72876600134558,53.98645838447848,0.0,167.22737113367506,1048.1693160184398,0.0,473.94
4778,7/19/2018,458.273656744901,0.0,233.85345168663815,0.0,0.0,224.42020505826292,784.1455453616596,0.0,458.27
4779,7/19/2018,457.46428546928496,0.0,220.49039730454413,0.0,0.0,236.97388816474083,505.3527357560822,0.0,457.46
4780,7/19/2018,471.72697274166495,53.68070872223053,227.6730390349192,0.0,0.0,190.3732249845152,281.3842357742996,-0.0,471.73
4781,7/19/2018,488.29936691446204,388.1803201539772,204.78880840558455,0.0,104.66976164509973,0.0,386.0539974193994,0.0,592.97
4782,7/19/2018,532.13558407566,592.2870093760688,186.91572316953463,0.0,247.06714846994345,0.0,633.121145889343,0.0,779.2
4783,7/19/2018,571.205291515995,733.0570123696224,170.54598155146954,0.0,332.3977024050968,0.0,965.5188482944399,0.0,903.6
4784,7/19/2018,607.5249118200679,840.3950719423352,182.906806854906,0.0,415.77696697717323,0.0,1381.2958152716133,0.0,1023.3
4785,7/19/2018,678.5271621996201,898.3352000852185,216.81555734946897,0.0,436.6235952350672,0.0,1817.9194105066806,0.0,1115.15
4786,7/19/2018,729.992217514674,914.3063362160939,276.114111170009,0.0,460.42822987142887,0.0,2278.3476403781096,-0.0,1190.42
4787,7/19/2018,803.342048683798,906.1387950708286,200.94693027073262,0.0,303.74367665776293,0.0,2582.0913170358726,0.0,1107.09
4788,7/19/2018,854.8969898217031,883.1677531543538,148.83101818056772,0.0,177.10178151321855,0.0,2759.1930985490912,-0.0,1032.0
4789,7/19/2018,883.234775735347,842.0579247008789,123.10713849503728,0.0,54.64925919390506,0.0,2813.842357742996,27.28,937.88
4790,7/19/2018,915.2997660594671,770.1388474396838,114.08707678712398,0.0,0.0,31.073841832659248,2777.2848967633972,0.0,915.3
